City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,yangambi,0.8102,24.4336,294.27,95,77,0.48,CD,1706913747
246,newman,37.3138,-121.0208,287.62,74,55,0.45,US,1706913747
247,thomasville,35.8826,-80.082,287.93,66,11,4.93,US,1706913748
248,smithers,54.7804,-127.1743,274.33,80,100,10.29,CA,1706913748
249,rugaji,57.0,27.1333,272.63,97,100,4.21,LV,1706913748
250,swakopmund,-22.6833,14.5333,292.62,90,87,0.89,NA,1706913748
251,lebu,-37.6167,-73.65,291.06,83,28,5.03,CL,1706913748
252,keflavik,64.0049,-22.5624,271.39,69,75,19.55,IS,1706913749
253,tazacorte,28.629,-17.9293,292.68,46,0,3.6,ES,1706913749
254,puerto cabezas,14.0351,-83.3888,300.13,74,40,3.09,NI,1706913749
255,krasnyy yar,46.5331,48.3456,275.11,94,100,5.26,RU,1706913749
256,crucecita,-28.95,-58.9833,301.86,55,0,3.45,AR,1706913750
257,estevan,49.1334,-102.9842,277.34,93,100,5.14,CA,1706913750
258,santa sylvina,-27.8326,-61.1375,308.18,20,0,3.26,AR,1706913750
259,gallup,35.5281,-108.7426,276.06,75,100,8.23,US,1706913750
260,severo-yeniseyskiy,60.3725,93.0408,247.36,100,82,1.34,RU,1706913750
261,thunder bay,48.4001,-89.3168,272.14,69,0,4.63,CA,1706913721
262,saldanha,-33.0117,17.9442,294.18,96,53,3.42,ZA,1706913750
263,venceremos,20.5513,-100.3991,297.21,26,1,7.15,MX,1706913750
264,sao joao da barra,-21.6403,-41.0511,300.2,90,100,2.88,BR,1706913718
265,cill airne,52.05,-9.5167,284.66,98,100,2.54,IE,1706913751
266,san luis de la loma,17.2706,-100.8939,301.44,66,0,4.7,MX,1706913751
267,tura,25.5198,90.2201,285.1,58,0,0.57,IN,1706913588
268,iskateley,67.6803,53.1512,263.72,90,100,6.71,RU,1706913751
269,talnakh,69.4865,88.3972,258.82,95,100,6.6,RU,1706913751
270,ben gardane,33.1378,11.2197,287.03,72,100,4.54,TN,1706913752
271,morehead city,34.7229,-76.726,290.17,73,20,2.57,US,1706913752
272,tralee,52.2704,-9.7026,284.63,97,100,4.09,IE,1706913752
273,timimoun,29.2639,0.231,284.36,30,0,3.6,DZ,1706913752
274,happy valley-goose bay,53.3168,-60.3315,257.32,51,20,2.06,CA,1706913752
275,wailua homesteads,22.0669,-159.378,297.39,59,75,10.8,US,1706913922
276,palmer,42.1584,-72.3287,278.07,69,75,5.66,US,1706913752
277,gamba,-2.65,10.0,299.68,84,97,1.03,GA,1706913752
278,san rafael,-34.6177,-68.3301,304.86,32,35,5.32,AR,1706913753
279,zhanaozen,43.3,52.8,273.95,97,98,2.53,KZ,1706913679
280,charters towers,-20.1,146.2667,300.7,69,100,4.03,AU,1706913753
281,rakops,-21.0167,24.3333,296.38,53,51,6.05,BW,1706913753
282,lorengau,-2.0226,147.2712,302.01,75,100,4.2,PG,1706913753
283,walvis bay,-22.9575,14.5053,292.68,88,98,1.54,NA,1706913593
284,suihua,46.6406,126.9969,240.41,100,70,0.83,CN,1706913753
285,grajau,-5.8194,-46.1386,297.47,93,100,1.11,BR,1706913754
286,laascaanood,8.4774,47.3597,294.05,61,45,3.85,SO,1706913754
287,potosi,-19.5836,-65.7531,284.63,62,40,5.14,BO,1706913754
288,berdigestyakh,62.0989,126.6992,244.58,99,78,2.21,RU,1706913754
289,parabel',58.6978,81.4825,263.66,95,100,4.02,RU,1706913754
290,mugia,43.1041,-9.2179,285.88,87,54,6.56,ES,1706913754
291,yelizovo,53.1873,158.3805,254.15,61,0,3.13,RU,1706913755
292,mili,6.0815,171.735,301.22,78,85,10.36,MH,1706913755
293,petropavlovsk-kamchatsky,53.0452,158.6483,253.4,75,0,4.47,RU,1706913639
294,ancud,-41.8697,-73.8203,288.81,73,40,3.66,CL,1706913755
295,basco,20.4487,121.9702,296.98,84,93,8.23,PH,1706913755
296,sisimiut,66.9395,-53.6735,250.82,97,93,4.4,GL,1706913755
297,durant,33.994,-96.3708,291.77,72,100,4.63,US,1706913755
298,musan-up,42.2261,129.2078,257.98,93,40,1.62,KP,1706913755
299,tynda,55.1667,124.7167,240.27,99,22,1.39,RU,1706913756
300,nar'yan-mar,67.6713,53.087,263.77,90,100,6.71,RU,1706913756
301,mahomet,40.1953,-88.4042,279.32,86,4,4.47,US,1706913756
302,dzhambeyty,50.2536,52.595,272.84,98,100,6.35,KZ,1706913756
303,quellon,-43.1167,-73.6167,288.02,77,85,3.18,CL,1706913756
304,chabahar,25.2919,60.643,295.91,78,71,4.2,IR,1706913756
305,remire-montjoly,4.9167,-52.2667,298.17,88,0,0.0,GF,1706913756
306,ghanzi,-21.5667,21.7833,294.74,41,24,3.2,BW,1706913756
307,san pablo huixtepec,16.8333,-96.7667,301.44,23,40,5.14,MX,1706913757
308,hilo,19.7297,-155.09,297.1,91,100,8.75,US,1706913757
309,malindi,-3.2175,40.1191,299.15,80,100,3.57,KE,1706913757
310,sittwe,20.15,92.9,292.49,72,0,3.16,MM,1706913757
311,onega,63.9061,38.1404,260.82,99,100,1.15,RU,1706913757
312,kikvidze,50.7416,43.0518,270.14,94,64,4.7,RU,1706913757
313,burutu,5.3509,5.5076,299.87,82,41,1.99,NG,1706913758
314,port alfred,-33.5906,26.891,296.22,91,97,8.06,ZA,1706913758
315,venice,27.0998,-82.4543,293.14,61,0,2.57,US,1706913536
316,fort st. john,56.2499,-120.8529,272.09,93,20,2.06,CA,1706913681
317,flin flon,54.7682,-101.865,276.06,75,0,1.54,CA,1706913629
318,enewetak,11.3474,162.3373,299.57,85,88,10.43,MH,1706913568
319,lamu,-2.2717,40.902,298.93,79,100,4.36,KE,1706913758
320,yuzhno-kurilsk,44.0306,145.8556,265.03,64,100,12.38,RU,1706913758
321,cockburn town,21.4612,-71.1419,297.13,43,40,2.06,TC,1706913758
322,bengkulu,-3.8004,102.2655,297.34,94,100,1.22,ID,1706913759
323,lhokseumawe,5.1801,97.1507,298.58,85,42,0.23,ID,1706913759
324,komsomol'sk,49.0097,33.6455,273.83,77,50,5.01,UA,1706913759
325,kurumkan,54.3,110.3,248.22,90,21,1.79,RU,1706913759
326,qingdao,36.0986,120.3719,270.93,74,0,4.0,CN,1706913514
327,karwar,14.8,74.1333,293.73,71,95,2.34,IN,1706913759
328,masterton,-40.9597,175.6575,288.64,83,34,6.75,NZ,1706913760
329,campoverde,-8.4753,-74.8058,305.98,72,100,1.14,PE,1706913760
330,seydi,39.4816,62.9137,275.73,62,100,3.85,TM,1706913760
331,palapye,-22.546,27.1251,292.2,71,41,1.72,BW,1706913760
